	            A	            B	            C	            D
      1960-01	 -2.00000    	  159.400    	  306.900    	  35.1000    
      1961-01	  118.500    	  10.5000    	  37.4000    	 0.000000E+00
      1962-01	 -2.00000    	  2.30000    	  194.500    	  3.30000    
      1963-01	  241.900    	  2.80000    	  213.700    	  9.60000    
      1964-01	  356.000    	  1.90000    	  14.5000    	  3.20000    
      1965-01	  263.000    	  9.90000    	  417.900    	  2.60000    
      1966-01	  153.800    	  15.1000    	  13.4000    	  19.6000    
      1967-01	  453.400    	  105.900    	  93.4000    	  1.80000    
      1968-01	  278.100    	  6.60000    	  63.7000    	  4.20000    
      1969-01	  62.0000    	  4.10000    	  44.8000    	 -2.00000    
